"","day","site","new_customer","platform","visits","distinct_sessions","orders","gross_sales","bounces","add_to_cart","product_page_views","search_page_views","conversion_rate","bounce_rate","add_to_cart_rate"
"1733","0013-01-23","Widgetry","0","iPhone",119,113,119,16492,0,119,1545,1253,1,0,1
"1736","0013-01-23","Pinnacle","0","iPad",21,16,3,780,5,6,57,87,0.142857142857143,0.238095238095238,0.285714285714286
"1737","0013-01-23","Sortly","1","Other",25,20,13,1453,4,16,61,81,0.52,0.16,0.64
"1739","0013-01-23","Acme","1","Android",22,15,13,1255,2,16,72,139,0.590909090909091,0.0909090909090909,0.727272727272727
"1740","0013-01-23","Sortly","1","Android",9,7,2,208,3,4,9,12,0.222222222222222,0.333333333333333,0.444444444444444
"1743","0013-01-23","Acme","0","iPhone",446,357,46,5639,78,100,668,974,0.103139013452915,0.174887892376682,0.224215246636771
"1744","0013-01-23","Acme","1","Linux",3,1,1,123,0,2,4,5,0.333333333333333,0,0.666666666666667
"1746","0013-01-23","Acme","0","Windows",10628,7112,1822,266704,1679,3167,35441,71556,0.171433948061724,0.157978923598043,0.297986450884456
"1747","0013-01-23","Pinnacle","0","Android",2,1,0,35,1,1,3,4,0,0.5,0.5
"1748","0013-01-23","Pinnacle","0","Linux",0,0,0,16081.4390243902,0,0,0,0,0,0,0
"1749","0013-01-23","Acme","0","Android",232,168,22,2815,41,55,620,1359,0.0948275862068965,0.176724137931034,0.237068965517241
"1750","0013-01-23","Sortly","1","iPhone",30,22,10,996,8,13,41,49,0.333333333333333,0.266666666666667,0.433333333333333
"1754","0013-01-23","Acme","1","iPad",151,90,88,10192,23,102,603,822,0.582781456953642,0.152317880794702,0.675496688741722
"1756","0013-01-23","Pinnacle","0","Windows",61,50,7,2195,13,16,169,293,0.114754098360656,0.213114754098361,0.262295081967213
"1757","0013-01-23","Pinnacle","1","Android",1,0,0,28,0,0,1,0,0,0,0
"1758","0013-01-23","Pinnacle","0","BlackBerry",1,0,0,45,0,0,0,1,0,0,0
"1759","0013-01-23","Acme","1","Macintosh",328,195,195,24145,53,221,1325,2357,0.594512195121951,0.161585365853659,0.673780487804878
"1760","0013-01-23","Sortly","1","Windows",0,0,0,16081.4390243902,0,0,0,0,0,0,0
"1761","0013-01-24","Acme","1","iPhone",16,14,10,936,2,11,38,36,0.625,0.125,0.6875
"1763","0013-01-24","Pinnacle","1","Other",0,0,0,8,0,0,0,0,0,0,0
"1764","0013-01-24","Acme","0","Windows",11091,7527,1805,255077,1718,3183,37243,77540,0.162744567667478,0.154900369669101,0.28698945090614
"1765","0013-01-24","Sortly","1","Macintosh",0,0,0,9,0,0,0,0,0,0,0
"1766","0013-01-24","Acme","1","Macintosh",314,180,177,21796,54,207,1184,2066,0.563694267515924,0.171974522292994,0.659235668789809
"1767","0013-01-24","Acme","1","Other",6,3,3,298,1,3,18,29,0.5,0.166666666666667,0.5
"1768","0013-01-24","Pinnacle","0","Linux",1,0,0,14486.3255813953,0,0,5,8,0,0,0
"1769","0013-01-24","Widgetry","1","iPhone",14,13,14,1720,0,14,133,148,1,0,1
"1770","0013-01-24","Botly","1","Android",8,7,8,911,0,8,0,0,1,0,1
"1771","0013-01-24","Acme","0","Other",51,38,6,865,9,12,173,385,0.117647058823529,0.176470588235294,0.235294117647059
"1772","0013-01-24","Sortly","0","iPad",1,0,0,21,0,0,2,2,0,0,0
"1774","0013-01-24","Pinnacle","1","Macintosh",4,2,1,188,1,2,6,10,0.25,0.25,0.5
"1775","0013-01-24","Acme","1","Windows",898,520,520,60824,139,601,3436,6164,0.579064587973274,0.154788418708241,0.669265033407572
"1777","0013-01-24","Acme","0","BlackBerry",9,7,0,59,2,1,8,19,0,0.222222222222222,0.111111111111111
"1779","0013-01-24","Acme","1","Linux",3,2,2,167,0,2,18,36,0.666666666666667,0,0.666666666666667
"1780","0013-01-24","Acme","0","Macintosh",6845,4343,926,153814,2112,1582,20095,39857,0.135281227173119,0.30854638422206,0.231117604090577
"1782","0013-01-24","Sortly","0","Other",150,127,27,2991,39,57,391,503,0.18,0.26,0.38
"1784","0013-01-24","Sortly","1","iPhone",30,23,11,1000,10,14,42,44,0.366666666666667,0.333333333333333,0.466666666666667
"1785","0013-01-24","Sortly","1","Windows",0,0,0,14486.3255813953,0,0,0,0,0,0,0
"1786","0013-01-24","Pinnacle","1","iPad",3,1,1,386,0,2,7,10,0.333333333333333,0,0.666666666666667
"1788","0013-01-24","Acme","1","iPad",138,81,78,9575,20,92,528,757,0.565217391304348,0.144927536231884,0.666666666666667
"1789","0013-01-24","Sortly","1","Android",10,7,2,168,4,5,11,21,0.2,0.4,0.5
"1790","0013-01-24","Sortly","0","Windows",1,1,0,11,0,0,3,3,0,0,0
"1793","0013-01-24","Acme","0","iPad",1994,1389,328,50303,360,615,6798,11217,0.164493480441324,0.180541624874624,0.308425275827482
"1794","0013-01-24","Widgetry","0","iPhone",122,116,122,17358,0,122,1554,1371,1,0,1
"1795","0013-01-24","Pinnacle","0","iPhone",20,16,1,199,8,2,15,32,0.05,0.4,0.1
"1796","0013-01-24","Sortly","0","Android",71,54,4,456,22,16,107,159,0.0563380281690141,0.309859154929577,0.225352112676056
"1797","0013-01-24","Sortly","1","iPad",0,0,0,14486.3255813953,0,0,0,0,0,0,0
"1800","0013-01-24","Acme","0","Android",274,198,25,2661,60,59,641,1343,0.0912408759124088,0.218978102189781,0.215328467153285
"1802","0013-01-24","Pinnacle","0","Android",4,2,0,39,1,1,9,21,0,0.25,0.25
"1803","0013-01-24","Pinnacle","0","Macintosh",89,71,7,1987,29,16,156,359,0.0786516853932584,0.325842696629214,0.179775280898876
"1804","0013-01-24","Acme","1","BlackBerry",0,0,0,6,0,0,0,0,0,0,0
"1806","0013-01-24","Acme","1","Android",14,10,8,803,2,9,54,87,0.571428571428571,0.142857142857143,0.642857142857143
"1807","0013-01-24","Acme","0","iPhone",547,435,48,5954,111,102,881,1316,0.0877513711151737,0.202925045703839,0.186471663619744
"1809","0013-01-24","Pinnacle","0","Other",0,0,0,14486.3255813953,0,0,0,1,0,0,0
"1813","0013-01-24","Pinnacle","1","iPhone",1,0,0,42,0,1,1,1,0,0,1
"1814","0013-01-24","Tabular","0","iPad",108,104,108,17774,0,108,0,0,1,0,1
"1815","0013-01-24","Pinnacle","1","Windows",9,5,4,922,2,5,19,40,0.444444444444444,0.222222222222222,0.555555555555556
"1817","0013-01-24","Sortly","0","iPhone",342,270,30,3535,100,80,443,536,0.087719298245614,0.292397660818713,0.233918128654971
"1820","0013-01-24","Sortly","0","Macintosh",1,0,0,6,0,0,0,0,0,0,0
"1821","0013-01-24","Pinnacle","1","Android",1,0,0,84,0,0,1,2,0,0,0
"1822","0013-01-24","Pinnacle","0","Windows",106,83,11,3012,28,21,232,470,0.10377358490566,0.264150943396226,0.19811320754717
"1825","0013-01-24","Botly","0","Android",19,18,19,2303,0,19,0,1,1,0,1
"1831","0013-01-24","Tabular","1","iPad",12,12,12,1585,0,12,0,0,1,0,1
"1832","0013-01-24","Pinnacle","0","iPad",33,27,2,941,11,6,51,111,0.0606060606060606,0.333333333333333,0.181818181818182
"1834","0013-01-24","Sortly","1","Other",25,20,12,1210,3,16,62,81,0.48,0.12,0.64
"1836","0013-01-24","Acme","0","Linux",45,29,6,908,7,13,184,343,0.133333333333333,0.155555555555556,0.288888888888889
"1837","0013-01-24","Acme","0","SymbianOS",0,0,0,14486.3255813953,0,0,0,0,0,0,0
"1838","0013-01-25","Acme","1","iPhone",18,17,12,1341,1,13,56,57,0.666666666666667,0.0555555555555556,0.722222222222222
"1839","0013-01-25","Pinnacle","1","Macintosh",5,2,3,963,1,3,13,23,0.6,0.2,0.6
"1840","0013-01-25","Pinnacle","1","Other",0,0,0,13909.8,0,0,0,0,0,0,0
"1841","0013-01-25","Acme","1","BlackBerry",0,0,0,3,0,0,0,0,0,0,0
"1842","0013-01-25","Pinnacle","0","Windows",68,57,6,2020,22,14,193,350,0.0882352941176471,0.323529411764706,0.205882352941176
"1845","0013-01-25","Sortly","0","Macintosh",1,0,0,9,0,1,0,0,0,0,1
"1846","0013-01-25","Widgetry","0","iPhone",100,96,100,13204,0,100,1193,996,1,0,1
"1848","0013-01-25","Acme","1","Macintosh",297,169,169,22059,48,197,1273,2277,0.569023569023569,0.161616161616162,0.663299663299663
"1849","0013-01-25","Acme","0","Windows",9509,6419,1546,221981,1546,2776,32424,66014,0.162582816279314,0.162582816279314,0.291933957303607
"1850","0013-01-25","Sortly","1","Windows",0,0,0,13909.8,0,0,0,0,0,0,0
"1851","0013-01-25","Acme","0","BlackBerry",8,6,1,120,2,2,5,10,0.125,0.25,0.25
"1853","0013-01-25","Acme","1","Linux",3,1,2,186,1,2,11,15,0.666666666666667,0.333333333333333,0.666666666666667
"1855","0013-01-25","Pinnacle","1","Windows",10,5,4,875,2,5,31,56,0.4,0.2,0.5
"1858","0013-01-25","Acme","0","iPad",1799,1266,293,44954,338,568,6549,10483,0.162868260144525,0.187882156753752,0.315730961645359
"1859","0013-01-25","Botly","1","Android",9,8,9,1010,0,9,7,4,1,0,1
"1861","0013-01-25","Tabular","1","iPad",11,10,11,1762,0,11,0,0,1,0,1
"1862","0013-01-25","Acme","0","Other",43,31,5,785,8,12,171,355,0.116279069767442,0.186046511627907,0.27906976744186
"1863","0013-01-25","Pinnacle","0","Macintosh",70,62,5,2038,33,12,129,236,0.0714285714285714,0.471428571428571,0.171428571428571
"1864","0013-01-25","Acme","1","Android",17,13,11,1209,1,14,71,125,0.647058823529412,0.0588235294117647,0.823529411764706
"1865","0013-01-25","Pinnacle","1","iPhone",2,1,1,226,0,1,7,7,0.5,0,0.5
"1867","0013-01-25","Sortly","1","Other",27,22,14,1724,4,17,66,80,0.518518518518518,0.148148148148148,0.62962962962963
"1868","0013-01-25","Acme","0","Android",217,160,20,2467,44,47,561,1151,0.0921658986175115,0.202764976958525,0.216589861751152
"1869","0013-01-25","Sortly","0","iPhone",288,232,28,3335,89,68,380,420,0.0972222222222222,0.309027777777778,0.236111111111111
"1871","0013-01-25","Acme","0","Linux",36,25,5,726,6,11,133,243,0.138888888888889,0.166666666666667,0.305555555555556
"1872","0013-01-25","Pinnacle","0","Android",3,1,0,13909.8,1,1,2,4,0,0.333333333333333,0.333333333333333
"1873","0013-01-25","Sortly","0","Windows",1,1,0,36,0,0,2,2,0,0,0
"1874","0013-01-25","Acme","1","Other",6,3,3,225,1,4,26,48,0.5,0.166666666666667,0.666666666666667
"1876","0013-01-25","Sortly","0","iPad",1,0,0,13909.8,0,0,1,0,0,0,0
"1878","0013-01-25","Sortly","0","BlackBerry",0,0,0,13909.8,0,0,0,0,0,0,0
"1879","0013-01-25","Acme","0","iPhone",435,347,39,5088,92,92,715,1015,0.0896551724137931,0.211494252873563,0.211494252873563
"1880","0013-01-25","Pinnacle","0","iPad",23,18,2,563,7,6,66,81,0.0869565217391304,0.304347826086957,0.260869565217391
"1882","0013-01-25","Sortly","0","Android",53,42,3,295,17,13,82,112,0.0566037735849057,0.320754716981132,0.245283018867925
"1883","0013-01-25","Pinnacle","0","Other",1,0,0,13909.8,0,0,0,0,0,0,0
"1884","0013-01-25","Acme","1","Windows",927,526,533,60254,144,615,3354,6227,0.574973031283711,0.155339805825243,0.663430420711974
"1889","0013-01-25","Widgetry","1","iPhone",13,12,13,1422,0,13,161,175,1,0,1
"1890","0013-01-25","Pinnacle","0","BlackBerry",0,0,0,13909.8,0,0,0,0,0,0,0
"1892","0013-01-25","Botly","0","Android",18,17,18,2147,0,18,0,1,1,0,1
"1893","0013-01-25","Sortly","1","iPhone",31,23,11,1229,11,13,40,45,0.354838709677419,0.354838709677419,0.419354838709677
"1896","0013-01-25","Pinnacle","1","Android",0,0,0,13909.8,0,0,0,0,0,0,0
"1899","0013-01-25","Acme","0","Macintosh",5961,3825,790,130935,1869,1369,18324,35568,0.132528099312196,0.313537996980372,0.229659453111894
"1901","0013-01-25","Pinnacle","0","iPhone",13,10,1,389,4,2,16,15,0.0769230769230769,0.307692307692308,0.153846153846154
"1902","0013-01-25","Sortly","1","iPad",0,0,0,46,0,0,0,0,0,0,0
"1903","0013-01-25","Sortly","0","Other",137,112,24,2936,38,54,337,422,0.175182481751825,0.277372262773723,0.394160583941606
"1905","0013-01-25","Pinnacle","1","iPad",2,1,1,265,0,1,3,4,0.5,0,0.5
"1906","0013-01-25","Acme","1","iPad",153,84,82,10445,24,100,632,850,0.535947712418301,0.156862745098039,0.65359477124183
"1908","0013-01-25","Tabular","0","iPad",102,98,102,16997,0,102,0,0,1,0,1
"1911","0013-01-25","Pinnacle","1","BlackBerry",0,0,0,13,0,0,0,0,0,0,0
"1912","0013-01-25","Sortly","1","Android",9,6,2,110,3,4,8,5,0.222222222222222,0.333333333333333,0.444444444444444
"1916","0013-01-26","Acme","1","iPhone",19,17,13,1341,1,14,58,60,0.684210526315789,0.0526315789473684,0.736842105263158
"1918","0013-01-26","Sortly","0","Android",55,44,3,348,17,16,104,130,0.0545454545454545,0.309090909090909,0.290909090909091
"1919","0013-01-26","Pinnacle","0","Windows",44,36,5,1497,13,10,157,278,0.113636363636364,0.295454545454545,0.227272727272727
"1920","0013-01-26","Acme","0","Macintosh",6200,4024,860,143477,1902,1497,21026,41868,0.138709677419355,0.306774193548387,0.241451612903226
"1921","0013-01-26","Pinnacle","0","iPad",26,22,3,764,8,6,54,77,0.115384615384615,0.307692307692308,0.230769230769231
"1922","0013-01-26","Sortly","0","Windows",1,0,0,115,0,0,2,3,0,0,0
"1923","0013-01-26","Pinnacle","1","Macintosh",5,2,2,488,1,2,16,17,0.4,0.2,0.4
"1927","0013-01-26","Sortly","1","iPad",0,0,0,13,0,0,0,1,0,0,0
"1929","0013-01-26","Pinnacle","0","BlackBerry",0,0,0,14098.2682926829,0,0,0,0,0,0,0
"1930","0013-01-26","Acme","0","Linux",37,26,5,665,6,11,148,254,0.135135135135135,0.162162162162162,0.297297297297297
"1932","0013-01-26","Pinnacle","1","iPad",2,1,1,387,0,1,5,5,0.5,0,0.5
"1933","0013-01-26","Pinnacle","0","iPhone",11,9,1,188,3,3,29,25,0.0909090909090909,0.272727272727273,0.272727272727273
"1934","0013-01-26","Acme","0","SymbianOS",0,0,0,14098.2682926829,0,0,0,0,0,0,0
"1935","0013-01-26","Sortly","0","Macintosh",1,0,0,14098.2682926829,0,0,1,2,0,0,0
"1936","0013-01-26","Acme","1","iPad",212,122,120,14956,34,141,920,1312,0.566037735849057,0.160377358490566,0.665094339622642
"1937","0013-01-26","Acme","0","Android",260,192,26,3666,54,65,799,1683,0.1,0.207692307692308,0.25
"1939","0013-01-26","Pinnacle","0","Other",0,0,0,22,0,0,1,2,0,0,0
"1941","0013-01-26","Tabular","1","iPad",18,17,18,2711,0,18,0,0,1,0,1
"1942","0013-01-26","Pinnacle","1","Android",0,0,0,14098.2682926829,0,0,0,0,0,0,0
"1944","0013-01-26","Sortly","1","Macintosh",0,0,0,14098.2682926829,0,0,0,0,0,0,0
"1945","0013-01-26","Sortly","1","Other",24,20,11,1121,3,15,56,77,0.458333333333333,0.125,0.625
"1946","0013-01-26","Sortly","1","Android",14,10,3,401,5,7,18,29,0.214285714285714,0.357142857142857,0.5
"1947","0013-01-26","Sortly","0","Other",151,124,27,3731,43,57,434,581,0.178807947019868,0.28476821192053,0.377483443708609
"1950","0013-01-26","Pinnacle","1","Windows",6,3,2,603,1,3,13,24,0.333333333333333,0.166666666666667,0.5
"1951","0013-01-26","Sortly","0","iPhone",290,238,30,3913,86,74,414,498,0.103448275862069,0.296551724137931,0.255172413793103
"1952","0013-01-26","Sortly","0","iPad",1,0,0,10,0,0,1,1,0,0,0
"1953","0013-01-26","Acme","1","Android",24,18,16,1625,2,18,93,181,0.666666666666667,0.0833333333333333,0.75
"1955","0013-01-26","Botly","1","Android",9,8,9,971,0,9,2,3,1,0,1
"1957","0013-01-26","Acme","1","Linux",4,2,3,256,1,3,20,47,0.75,0.25,0.75
"1959","0013-01-26","Widgetry","1","iPhone",17,16,17,1943,0,17,282,277,1,0,1
"1961","0013-01-26","Acme","0","iPad",2377,1650,406,66260,440,765,9299,15116,0.170803533866218,0.185107278081615,0.321834244846445
"1962","0013-01-26","Acme","1","BlackBerry",0,0,0,6,0,0,1,0,0,0,0
"1964","0013-01-26","Pinnacle","0","Linux",0,0,0,14098.2682926829,0,0,0,0,0,0,0
"1965","0013-01-26","Tabular","0","iPad",141,132,141,25525,0,141,0,0,1,0,1
"1966","0013-01-26","Acme","1","Other",8,5,4,452,1,5,40,54,0.5,0.125,0.625
"1969","0013-01-26","Acme","1","Macintosh",356,203,204,26605,59,235,1600,2947,0.573033707865168,0.165730337078652,0.660112359550562
"1970","0013-01-26","Sortly","1","iPhone",31,24,12,1208,11,15,34,39,0.387096774193548,0.354838709677419,0.483870967741935
"1971","0013-01-26","Acme","0","Windows",7691,5189,1326,192014,1293,2372,29958,61837,0.172409309582629,0.168118580158627,0.308412430113119
"1973","0013-01-26","Acme","1","Windows",817,476,481,53619,126,555,3383,6527,0.588739290085679,0.15422276621787,0.679314565483476
"1974","0013-01-26","Pinnacle","0","Macintosh",57,46,5,2212,20,12,130,237,0.087719298245614,0.350877192982456,0.210526315789474
"1975","0013-01-26","Pinnacle","1","Other",0,0,0,14098.2682926829,0,0,0,0,0,0,0
"1979","0013-01-26","Acme","0","iPhone",492,391,46,6127,104,105,839,1121,0.0934959349593496,0.211382113821138,0.213414634146341
"1980","0013-01-26","Widgetry","0","iPhone",113,107,113,15237,0,113,1717,1389,1,0,1
"1981","0013-01-26","Acme","0","BlackBerry",10,8,0,26,3,1,10,19,0,0.3,0.1
"1985","0013-01-26","Acme","0","Other",56,38,7,784,10,15,247,502,0.125,0.178571428571429,0.267857142857143
"1986","0013-01-26","Pinnacle","1","iPhone",1,0,1,117,0,1,1,2,1,0,1
"1987","0013-01-26","Pinnacle","0","Android",1,1,0,43,0,0,3,13,0,0,0
"1988","0013-01-26","Botly","0","Android",20,19,20,2582,0,20,0,0,1,0,1
"1993","0013-01-27","Sortly","0","Macintosh",1,0,0,20,0,0,0,0,0,0,0
"1995","0013-01-27","Tabular","0","iPad",172,163,172,29128,0,172,1,0,1,0,1
"1996","0013-01-27","Sortly","0","Other",143,121,26,3488,35,57,459,582,0.181818181818182,0.244755244755245,0.398601398601399
"1997","0013-01-27","Sortly","0","BlackBerry",0,0,0,4,0,0,0,0,0,0,0
"1999","0013-01-27","Pinnacle","1","iPhone",0,0,0,44,0,0,2,1,0,0,0
"2001","0013-01-27","Widgetry","1","iPhone",15,14,15,1850,0,15,195,188,1,0,1
"2002","0013-01-27","Pinnacle","0","Other",0,0,0,49,0,0,0,0,0,0,0
"2003","0013-01-27","Pinnacle","0","Macintosh",62,50,5,1564,19,13,153,324,0.0806451612903226,0.306451612903226,0.209677419354839
"2004","0013-01-27","Acme","1","iPhone",21,19,15,1398,1,18,79,92,0.714285714285714,0.0476190476190476,0.857142857142857
"2005","0013-01-27","Sortly","0","iPhone",289,238,30,3434,90,77,432,509,0.103806228373702,0.311418685121107,0.26643598615917
"2007","0013-01-27","Sortly","0","Android",53,44,4,320,17,15,98,153,0.0754716981132075,0.320754716981132,0.283018867924528
"2008","0013-01-27","Pinnacle","0","iPhone",9,7,1,305,3,2,20,23,0.111111111111111,0.333333333333333,0.222222222222222
"2010","0013-01-27","Sortly","1","Other",29,23,14,1300,6,18,70,72,0.482758620689655,0.206896551724138,0.620689655172414
"2014","0013-01-27","Acme","1","Windows",958,555,561,64052,153,640,3937,7491,0.585594989561587,0.159707724425887,0.668058455114823
"2015","0013-01-27","Acme","0","Other",66,44,9,1382,12,18,191,420,0.136363636363636,0.181818181818182,0.272727272727273
"2016","0013-01-27","Acme","0","Android",227,173,23,2911,43,60,681,1458,0.101321585903084,0.18942731277533,0.26431718061674
"2017","0013-01-27","Sortly","1","Macintosh",0,0,0,16288.2195121951,0,0,0,0,0,0,0
"2020","0013-01-27","Sortly","1","iPad",0,0,0,16288.2195121951,0,0,0,1,0,0,0
"2021","0013-01-27","Acme","1","iPad",249,146,143,17868,37,167,1088,1541,0.57429718875502,0.14859437751004,0.670682730923695
"2023","0013-01-27","Tabular","1","iPad",23,22,23,3084,0,23,0,0,1,0,1
"2025","0013-01-27","Pinnacle","0","Android",3,1,0,125,1,1,4,9,0,0.333333333333333,0.333333333333333
"2028","0013-01-27","Acme","0","BlackBerry",6,5,0,12,1,1,9,10,0,0.166666666666667,0.166666666666667
"2031","0013-01-27","Acme","1","BlackBerry",1,0,0,31,0,0,0,0,0,0,0
"2032","0013-01-27","Pinnacle","0","Windows",50,41,5,1522,10,11,122,248,0.1,0.2,0.22
"2033","0013-01-27","Acme","0","iPhone",421,353,41,5055,68,95,757,1178,0.0973871733966746,0.161520190023753,0.225653206650831
"2034","0013-01-27","Acme","0","Windows",7994,5423,1505,223718,1320,2601,32119,67380,0.188266199649737,0.165123842882162,0.325369026770078
"2035","0013-01-27","Acme","1","Android",21,15,14,1412,2,16,99,185,0.666666666666667,0.0952380952380952,0.761904761904762
"2036","0013-01-27","Acme","1","Linux",5,2,3,341,1,3,21,48,0.6,0.2,0.6
"2040","0013-01-27","Widgetry","0","iPhone",119,114,119,17418,0,119,1879,1614,1,0,1
"2041","0013-01-27","Acme","0","Linux",37,25,5,712,5,11,149,267,0.135135135135135,0.135135135135135,0.297297297297297
"2042","0013-01-27","Acme","1","Other",10,6,4,423,1,6,36,62,0.4,0.1,0.6
"2043","0013-01-27","Acme","1","Macintosh",433,248,248,31286,71,287,1944,3528,0.572748267898383,0.163972286374134,0.662817551963048
"2044","0013-01-27","Acme","0","Macintosh",6963,4482,1043,172372,2163,1761,24071,48838,0.149791756426828,0.310641964670401,0.252908229211547
"2045","0013-01-27","Sortly","1","Windows",0,0,0,4,0,0,0,0,0,0,0
"2046","0013-01-27","Sortly","0","Windows",1,0,0,16288.2195121951,0,0,0,0,0,0,0
"2047","0013-01-27","Sortly","1","Android",8,6,2,189,3,5,9,14,0.25,0.375,0.625
"2048","0013-01-27","Acme","0","SymbianOS",0,0,0,16288.2195121951,0,0,0,0,0,0,0
"2049","0013-01-27","Sortly","0","iPad",0,0,0,16288.2195121951,0,0,0,0,0,0,0
"2055","0013-01-27","Pinnacle","1","Windows",5,3,2,406,1,3,10,13,0.4,0.2,0.6
"2056","0013-01-27","Botly","0","Android",22,21,22,2659,0,22,7,3,1,0,1
"2059","0013-01-27","Pinnacle","0","iPad",27,25,2,967,7,7,60,105,0.0740740740740741,0.259259259259259,0.259259259259259
"2060","0013-01-27","Botly","1","Android",8,7,8,919,0,8,1,0,1,0,1
"2061","0013-01-27","Pinnacle","1","Macintosh",5,2,2,346,2,2,8,11,0.4,0.4,0.4
"2062","0013-01-27","Acme","0","iPad",2535,1765,464,73900,454,862,10040,16872,0.183037475345168,0.179092702169625,0.340039447731755
"2064","0013-01-27","Sortly","1","iPhone",36,26,14,1444,13,17,50,51,0.388888888888889,0.361111111111111,0.472222222222222
"2065","0013-01-27","Pinnacle","1","iPad",5,2,1,355,1,2,6,8,0.2,0.2,0.4
"2069","0013-01-28","Widgetry","0","iPhone",115,111,115,14907,0,115,1532,1231,1,0,1
"2071","0013-01-28","Pinnacle","1","Android",0,0,0,17524.6315789474,0,0,0,0,0,0,0
"2072","0013-01-28","Sortly","0","Other",145,123,26,3499,37,52,420,493,0.179310344827586,0.255172413793103,0.358620689655172
"2074","0013-01-28","Acme","1","Windows",972,561,565,64268,156,654,3494,6318,0.581275720164609,0.160493827160494,0.672839506172839
"2075","0013-01-28","Pinnacle","0","Other",0,0,0,17524.6315789474,0,0,0,0,0,0,0
"2076","0013-01-28","Sortly","0","iPhone",353,285,27,3188,104,71,450,500,0.0764872521246459,0.294617563739377,0.201133144475921
"2077","0013-01-28","Acme","0","Other",53,38,6,941,9,15,184,395,0.113207547169811,0.169811320754717,0.283018867924528
"2079","0013-01-28","Acme","1","Other",8,5,3,301,1,5,21,39,0.375,0.125,0.625
"2080","0013-01-28","Acme","0","Android",268,201,22,2750,51,53,711,1548,0.082089552238806,0.190298507462687,0.197761194029851
"2081","0013-01-28","Acme","1","BlackBerry",0,0,0,17524.6315789474,0,0,0,0,0,0,0
"2082","0013-01-28","Tabular","1","iPad",13,12,13,1853,0,13,0,0,1,0,1
"2084","0013-01-28","Pinnacle","1","Macintosh",5,3,2,513,1,3,8,16,0.4,0.2,0.6
"2086","0013-01-28","Acme","1","iPhone",16,14,10,1161,1,12,35,38,0.625,0.0625,0.75
"2087","0013-01-28","Pinnacle","0","iPad",18,15,2,813,4,6,47,80,0.111111111111111,0.222222222222222,0.333333333333333
"2088","0013-01-28","Acme","0","iPad",2151,1511,352,55957,392,659,7533,12394,0.163644816364482,0.182240818224082,0.306369130636913
"2089","0013-01-28","Acme","1","iPad",169,98,95,11289,25,113,643,940,0.562130177514793,0.14792899408284,0.668639053254438
"2090","0013-01-28","Pinnacle","0","Android",2,1,0,17,1,1,2,4,0,0.5,0.5
"2094","0013-01-28","Pinnacle","0","Linux",1,0,0,17524.6315789474,0,0,1,1,0,0,0
"2095","0013-01-28","Tabular","0","iPad",127,121,127,20587,0,127,0,0,1,0,1
"2097","0013-01-28","Sortly","0","BlackBerry",0,0,0,17524.6315789474,0,0,0,0,0,0,0
"2105","0013-01-28","Sortly","1","Android",11,7,3,259,4,5,12,24,0.272727272727273,0.363636363636364,0.454545454545455
"2106","0013-01-28","Pinnacle","0","Macintosh",62,48,6,2208,19,14,131,254,0.0967741935483871,0.306451612903226,0.225806451612903
"2107","0013-01-28","Sortly","1","Other",23,18,11,1268,3,15,70,73,0.478260869565217,0.130434782608696,0.652173913043478
"2108","0013-01-28","Sortly","1","Macintosh",0,0,0,17524.6315789474,0,0,0,0,0,0,0
"2109","0013-01-28","Pinnacle","1","iPad",3,1,1,372,1,1,6,16,0.333333333333333,0.333333333333333,0.333333333333333
"2110","0013-01-28","Sortly","0","iPad",1,1,0,45,0,1,6,4,0,0,1
"2111","0013-01-28","Acme","1","Linux",3,2,2,241,1,2,10,20,0.666666666666667,0.333333333333333,0.666666666666667
"2112","0013-01-28","Pinnacle","0","iPhone",8,6,1,239,2,1,8,10,0.125,0.25,0.125
"2115","0013-01-28","Sortly","0","Android",71,56,4,317,19,13,77,122,0.0563380281690141,0.267605633802817,0.183098591549296
"2116","0013-01-28","Acme","0","Macintosh",7474,4772,1013,167476,2279,1735,22586,44560,0.135536526625636,0.304923735616805,0.232138078672732
"2118","0013-01-28","Widgetry","1","iPhone",15,14,15,1953,0,15,182,179,1,0,1
"2119","0013-01-28","Sortly","0","Windows",1,0,0,18,0,0,1,2,0,0,0
"2120","0013-01-28","Pinnacle","1","iPhone",1,0,0,49,0,0,1,0,0,0,0
"2122","0013-01-28","Acme","0","BlackBerry",9,7,0,17524.6315789474,2,1,8,20,0,0.222222222222222,0.111111111111111
"2123","0013-01-28","Sortly","1","iPhone",28,21,10,952,9,13,38,37,0.357142857142857,0.321428571428571,0.464285714285714
"2124","0013-01-28","Acme","1","Macintosh",362,209,208,26839,60,240,1455,2545,0.574585635359116,0.165745856353591,0.662983425414365
"2126","0013-01-28","Sortly","1","Windows",0,0,0,17524.6315789474,0,0,0,0,0,0,0
"2127","0013-01-28","Botly","1","Android",6,6,6,653,0,6,0,0,1,0,1
"2128","0013-01-28","Botly","0","Android",19,18,19,2438,0,19,4,7,1,0,1
"2129","0013-01-28","Acme","0","iPhone",532,430,40,5269,102,93,861,1277,0.075187969924812,0.191729323308271,0.174812030075188
"2131","0013-01-28","Acme","1","Android",19,12,11,1165,3,13,57,87,0.578947368421053,0.157894736842105,0.684210526315789
"2132","0013-01-28","Acme","0","Linux",44,29,7,893,8,13,166,276,0.159090909090909,0.181818181818182,0.295454545454545
